ORISPL,YEAR,PSTATABB,NAMEPCAP,CAPFAC,SECTOR,PLFUELCT,PLNGENAN,PLHTIAN,PLCO2AN,PLCO2RTA,TREATED,NEIGHBOR,POST
55285,2020,VA,285.0,0.0387,IPP Non-CHP,GAS,96495.0,1157880.0,68266.0,1414.915,1,0,0
3809,2020,VA,1257.0,0.0055,Electric Utility,OIL,59989.0,770932.0,62396.0,2080.238,1,0,0
50491,2020,WV,123.0,0.6678,Industrial CHP,GAS,719497.0,4532238.0,267588.0,743.819,0,1,0
55284,2020,WV,353.4,0.0783,IPP Non-CHP,GAS,242438.0,2687490.0,158625.0,1308.581,0,1,0
55276,2020,WV,519.0,0.0243,Electric Utility,GAS,110348.0,1353243.0,79837.0,1447.004,0,1,0
3943,2020,WV,1152.0,0.5028,Electric Utility,COAL,5073932.0,50443730.0,5175523.0,2040.044,0,1,0
10151,2020,WV,95.7,0.7369,IPP Non-CHP,COAL,617730.0,8121428.0,833261.0,2697.815,0,1,0
3944,2020,WV,2052.0,0.6053,Electric Utility,COAL,10879715.0,104654598.0,10737558.0,1973.867,0,1,0
3935,2020,WV,2932.6,0.4068,Electric Utility,COAL,10450839.0,109028029.0,11185350.0,2140.565,0,1,0
56671,2020,WV,807.5,0.6998,IPP Non-CHP,COAL,4949857.0,46366752.0,4757227.0,1922.167,0,1,0
3948,2020,WV,1632.6,0.2525,Electric Utility,COAL,3611720.0,39052567.0,4005536.0,2218.077,0,1,0
10743,2020,WV,68.9,0.0,IPP CHP,GAS,0.0,0.0,0.0,0.0,0,1,0
3954,2020,WV,1680.9,0.3202,Electric Utility,COAL,4714228.0,50102368.0,5140496.0,2180.843,0,1,0
6264,2020,WV,1300.0,0.4632,Electric Utility,COAL,5275013.0,53620442.0,5499507.0,2085.116,0,1,0
55349,2020,WV,344.0,0.549,IPP Non-CHP,GAS,1654508.0,17086433.0,1015467.0,1227.515,0,1,0
6004,2020,WV,1368.0,0.4074,IPP Non-CHP,COAL,4882214.0,51133698.0,5246313.0,2149.153,0,1,0
55279,2018,IL,1275.0,0.0607,IPP Non-CHP,GAS,677827.0,7106146.0,422311.0,1246.074,0,0,0
55296,2018,IL,312.8,0.0054,IPP Non-CHP,GAS,14791.0,160356.0,9314.0,1259.387,0,0,0
55188,2018,IL,611.2,0.0148,IPP Non-CHP,GAS,79066.0,558748.0,33205.0,839.936,0,0,0
55253,2018,IL,356.0,0.0265,IPP Non-CHP,GAS,82634.0,1077609.0,64042.0,1550.008,0,0,0
55438,2018,IL,540.0,0.0493,IPP Non-CHP,GAS,233355.0,2699698.0,160436.0,1375.036,0,0,0
55199,2018,IL,1728.0,0.0235,IPP Non-CHP,GAS,356318.0,3670121.0,218110.0,1224.241,0,0,0
886,2018,IL,662.8,0.0001,IPP Non-CHP,OIL,618.0,17549.0,1421.0,4599.993,0,0,0
56462,2018,IL,31.5,0.0208,Electric Utility,GAS,5736.0,49839.0,2913.0,1015.626,0,0,0
54556,2018,IL,54.6,0.5697,Industrial CHP,COAL,272470.0,1919656.0,175484.0,1288.1,0,0,0
384,2018,IL,1320.0,0.0544,IPP Non-CHP,GAS,628452.0,6885100.0,408147.0,1298.895,0,0,0
874,2018,IL,507.6,0.0,IPP Non-CHP,GAS,-57596.0,152756.0,9055.0,0.0,0,0,0
55131,2018,IL,1256.0,0.5324,IPP Non-CHP,GAS,5857928.0,45194617.0,2685854.0,916.998,0,0,0
876,2018,IL,1319.0,0.4153,IPP Non-CHP,COAL,4798673.0,49708729.0,5213446.0,2172.87,0,0,0
55236,2018,IL,692.0,0.0142,IPP Non-CHP,GAS,86087.0,1134184.0,67405.0,1565.965,0,0,0
55222,2018,IL,692.0,0.0029,IPP Non-CHP,GAS,17574.0,261295.0,15529.0,1767.315,0,0,0
55640,2018,IL,726.0,0.0993,IPP Non-CHP,GAS,631348.0,6389181.0,379692.0,1202.797,0,0,0
55216,2018,IL,212.5,0.3437,IPP CHP,GAS,639879.0,4163497.0,243334.0,760.561,0,0,0
55183,2018,IL,627.5,0.6395,IPP Non-CHP,GAS,3515256.0,24846947.0,1476616.0,840.119,0,0,0
879,2018,IL,1785.6,0.2885,IPP Non-CHP,COAL,4511849.0,54448051.0,5797703.0,2569.99,0,0,0
55238,2018,IL,316.0,0.0692,IPP Non-CHP,GAS,191593.0,2036770.0,121042.0,1263.533,0,0,0
55936,2018,IL,168.0,0.0833,IPP Non-CHP,GAS,122646.0,1199275.0,71271.0,1162.221,0,0,0
55109,2018,IL,415.5,0.0105,IPP Non-CHP,GAS,38122.0,457666.0,27329.0,1433.739,0,0,0
961,2018,IL,27.3,0.0061,Electric Utility,GAS,1458.0,14330.0,1065.0,1460.82,0,0,0
55281,2018,IL,407.2,0.0165,IPP Non-CHP,GAS,58790.0,827377.0,48783.0,1659.571,0,0,0
54044,2018,IL,59.9,0.2221,Commercial CHP,GAS,116557.0,625741.0,36571.0,627.524,0,0,0
55250,2018,IL,353.4,0.0749,IPP Non-CHP,GAS,231786.0,2590945.0,152805.0,1318.503,0,0,0
883,2018,IL,914.7,0.2043,IPP Non-CHP,COAL,1637196.0,18551754.0,1962492.0,2397.381,0,0,0
884,2018,IL,1268.8,0.0903,IPP Non-CHP,COAL,1003780.0,11807188.0,1247087.0,2484.782,0,0,0
